image_path,ssi_path,label,split
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_000.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_000_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_004.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_004_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_006.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_006_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_007.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_007_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_008.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_008_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_009.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_009_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_010.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_010_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_015.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_015_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_016.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_016_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_018.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_018_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_019.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_019_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_020.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_020_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_021.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_021_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_022.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_022_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_023.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_023_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_024.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_024_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_025.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_025_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_026.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_026_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_027.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_027_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_029.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_029_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_030.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_030_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_033.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_033_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_034.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_034_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_036.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_036_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_037.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_037_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_039.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_039_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_040.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_040_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_042.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_042_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_043.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_043_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_046.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_046_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_047.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_047_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_048.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_048_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_049.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_049_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_050.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_050_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_051.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_051_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_052.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_052_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_053.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_053_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_055.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_055_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_056.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_056_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_057.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_057_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_058.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_058_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_059.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_059_weighted.npy,HS,train
/content/drive/MyDrive/CWT_images/train/HS/HS_WN_01/SW_FB1/segment_060.png,/content/drive/MyDrive/SSI_vectors/train/HS/HS_WN_01/SW_FB1/segment_060_weighted.npy,HS,train
